year	month	talk_page_type	edit_count
2007	5	Project Talk	30
2007	5	User Talk	466
2007	6	Article Talk	500
2007	6	Project Talk	54
2007	6	User Talk	542
2007	7	Article Talk	561
2007	7	Project Talk	48
2007	7	User Talk	1403
2007	8	Article Talk	480
2007	8	Project Talk	31
2007	8	User Talk	455
2007	9	Article Talk	684
2007	9	Project Talk	343
2007	9	User Talk	3128
2007	10	Article Talk	794
2007	10	Project Talk	98
2007	10	User Talk	1024
2007	11	Article Talk	743
2007	11	Project Talk	45
2007	11	User Talk	740
2007	12	Article Talk	835
2007	12	Project Talk	71
2007	12	User Talk	1022
2008	1	Article Talk	930
2008	1	Project Talk	57
2008	1	User Talk	804
2008	2	Article Talk	664
2008	2	Project Talk	84
2008	2	User Talk	487
2008	3	Article Talk	506
2008	3	Project Talk	30
2008	3	User Talk	370
2008	4	Article Talk	739
2008	4	Project Talk	34
2008	4	User Talk	403
2008	5	Article Talk	711
2008	5	Project Talk	108
2008	5	User Talk	664
2008	6	Article Talk	949
2008	6	Project Talk	59
2008	6	User Talk	684
2008	7	Article Talk	633
2008	7	Project Talk	45
2008	7	User Talk	469
2008	8	Article Talk	797
2008	8	Project Talk	69
2008	8	User Talk	523
2008	9	Article Talk	620
2008	9	Project Talk	55
2008	9	User Talk	526
2008	10	Article Talk	726
2008	10	Project Talk	94
2008	10	User Talk	573
2008	11	Article Talk	612
2008	11	Project Talk	35
2008	11	User Talk	406
2008	12	Article Talk	370
2008	12	Project Talk	31
2008	12	User Talk	328
2009	1	Article Talk	475
2009	1	Project Talk	4
2009	1	User Talk	366
2009	2	Article Talk	440
2009	2	Project Talk	3
2009	2	User Talk	293
2009	3	Article Talk	560
2009	3	Project Talk	58
2009	3	User Talk	392
2009	4	Article Talk	616
2009	4	Project Talk	47
2009	4	User Talk	379
2009	5	Article Talk	601
2009	5	Project Talk	73
2009	5	User Talk	502
2009	6	Article Talk	597
2009	6	Project Talk	42
2009	6	User Talk	804
2009	7	Article Talk	1018
2009	7	Project Talk	152
2009	7	User Talk	778
2009	8	Article Talk	986
2009	8	Project Talk	46
2009	8	User Talk	969
2009	9	Article Talk	891
2009	9	Project Talk	54
2009	9	User Talk	730
2009	10	Article Talk	868
2009	10	Project Talk	136
2009	10	User Talk	5755
2009	11	Article Talk	478
2009	11	Project Talk	11
2009	11	User Talk	819
2009	12	Article Talk	553
2009	12	Project Talk	34
2009	12	User Talk	826
2010	1	Article Talk	535
2010	1	Project Talk	31
2010	1	User Talk	1271
2010	2	Article Talk	3356
2010	2	Project Talk	23
2010	2	User Talk	991
2010	3	Article Talk	303
2010	3	Project Talk	50
2010	3	User Talk	1234
2010	4	Article Talk	4635
2010	4	Project Talk	166
2010	4	User Talk	11854
2010	5	Article Talk	776
2010	5	Project Talk	49
2010	5	User Talk	999
2010	6	Article Talk	1714
2010	6	Project Talk	34
2010	6	User Talk	1149
2010	7	Article Talk	783
2010	7	Project Talk	45
2010	7	User Talk	985
2010	8	Article Talk	775
2010	8	Project Talk	61
2010	8	User Talk	899
2010	9	Article Talk	495
2010	9	Project Talk	26
2010	9	User Talk	1034
2010	10	Article Talk	563
2010	10	Project Talk	60
2010	10	User Talk	1651
2010	11	Article Talk	465
2010	11	Project Talk	40
2010	11	User Talk	1936
2010	12	Article Talk	514
2010	12	Project Talk	14
2010	12	User Talk	1138
2011	1	Article Talk	415
2011	1	Project Talk	25
2011	1	User Talk	1282
2011	2	Article Talk	695
2011	2	Project Talk	4
2011	2	User Talk	932
2011	3	Article Talk	718
2011	3	Project Talk	38
2011	3	User Talk	684
2011	4	Article Talk	225
2011	4	Project Talk	32
2011	4	User Talk	448
2011	5	Article Talk	200
2011	5	Project Talk	24
2011	5	User Talk	826
2011	6	Article Talk	255
2011	6	Project Talk	45
2011	6	User Talk	1046
2011	7	Article Talk	787
2011	7	Project Talk	66
2011	7	User Talk	1199
2011	8	Article Talk	779
2011	8	Project Talk	81
2011	8	User Talk	1181
2011	9	Article Talk	755
2011	9	Project Talk	44
2011	9	User Talk	1223
2011	10	Article Talk	714
2011	10	Project Talk	24
2011	10	User Talk	994
2011	11	Article Talk	570
2011	11	Project Talk	28
2011	11	User Talk	875
2011	12	Article Talk	849
2011	12	Project Talk	38
2011	12	User Talk	919
2012	1	Article Talk	455
2012	1	Project Talk	76
2012	1	User Talk	1060
2012	2	Article Talk	396
2012	2	Project Talk	135
2012	2	User Talk	1003
2012	3	Article Talk	326
2012	3	Project Talk	85
2012	3	User Talk	69240
2012	4	Article Talk	181
2012	4	Project Talk	39
2012	4	User Talk	557
2012	5	Article Talk	271
2012	5	Project Talk	12
2012	5	User Talk	894
2012	6	Article Talk	360
2012	6	Project Talk	9
2012	6	User Talk	1322
2012	7	Article Talk	585
2012	7	Project Talk	37
2012	7	User Talk	1641
2012	8	Article Talk	857
2012	8	Project Talk	65
2012	8	User Talk	1687
2012	9	Article Talk	766
2012	9	User Talk	1665
2012	10	Article Talk	977
2012	10	Project Talk	22
2012	10	User Talk	1727
2012	11	Article Talk	591
2012	11	Project Talk	35
2012	11	User Talk	1497
2012	12	Article Talk	927
2012	12	Project Talk	93
2012	12	User Talk	2535
2013	1	Article Talk	1690
2013	1	Project Talk	48
2013	1	User Talk	2289
2013	2	Article Talk	1106
2013	2	Project Talk	41
2013	2	User Talk	1731
2013	3	Article Talk	1041
2013	3	Project Talk	70
2013	3	User Talk	1432
2013	4	Article Talk	1129
2013	4	Project Talk	124
2013	4	User Talk	1468
2013	5	Article Talk	1308
2013	5	Project Talk	53
2013	5	User Talk	1625
2013	6	Article Talk	1044
2013	6	Project Talk	128
2013	6	User Talk	1564
2013	7	Article Talk	742
2013	7	Project Talk	60
2013	7	User Talk	1625
2013	8	Article Talk	601
2013	8	Project Talk	38
2013	8	User Talk	1275
2013	9	Article Talk	287
2013	9	Project Talk	8
2013	9	User Talk	965
2013	10	Article Talk	309
2013	10	Project Talk	53
2013	10	User Talk	1160
2013	11	Article Talk	642
2013	11	Project Talk	43
2013	11	User Talk	9402
2013	12	Article Talk	341
2013	12	Project Talk	26
2013	12	User Talk	1296
2014	1	Article Talk	303
2014	1	Project Talk	11
2014	1	User Talk	1253
2014	2	Article Talk	261
2014	2	Project Talk	22
2014	2	User Talk	932
2014	3	Article Talk	426
2014	3	Project Talk	15
2014	3	User Talk	1095
2014	4	Article Talk	146
2014	4	Project Talk	8
2014	4	User Talk	885
2014	5	Article Talk	192
2014	5	Project Talk	6
2014	5	User Talk	762
2014	6	Article Talk	142
2014	6	User Talk	911
2014	7	Article Talk	410
2014	7	Project Talk	5
2014	7	User Talk	1212
2014	8	Article Talk	231
2014	8	Project Talk	14
2014	8	User Talk	1530
2014	9	Article Talk	219
2014	9	Project Talk	171
2014	9	User Talk	1273
2014	10	Article Talk	74
2014	10	Project Talk	29
2014	10	User Talk	1338
2014	11	Article Talk	141
2014	11	Project Talk	14
2014	11	User Talk	1556
2014	12	Article Talk	60
2014	12	Project Talk	8
2014	12	User Talk	1188
2015	1	Article Talk	112
2015	1	Project Talk	1
2015	1	User Talk	1203
2015	2	Article Talk	101
2015	2	Project Talk	4
2015	2	User Talk	1095
2015	3	Article Talk	340
2015	3	Project Talk	7
2015	3	User Talk	5415
2015	4	Article Talk	92
2015	4	Project Talk	1
2015	4	User Talk	9647
2015	5	Article Talk	47
2015	5	Project Talk	28
2015	5	User Talk	1202
2015	6	Article Talk	96
2015	6	Project Talk	48
2015	6	User Talk	1597
2015	7	Article Talk	131
2015	7	Project Talk	35
2015	7	User Talk	1551
2015	8	Article Talk	96
2015	8	Project Talk	5
2015	8	User Talk	1470
2015	9	Article Talk	121
2015	9	Project Talk	20
2015	9	User Talk	1142
2015	10	Article Talk	126
2015	10	Project Talk	4
2015	10	User Talk	1276
2015	11	Article Talk	227
2015	11	Project Talk	76
2015	11	User Talk	1220
2015	12	Article Talk	298
2015	12	Project Talk	26
2015	12	User Talk	1313
2016	1	Article Talk	218
2016	1	Project Talk	11
2016	1	User Talk	1444
2016	2	Article Talk	181
2016	2	Project Talk	2
2016	2	User Talk	1057
2016	3	Article Talk	769
2016	3	Project Talk	2
2016	3	User Talk	1123
2016	4	Article Talk	152
2016	4	Project Talk	12
2016	4	User Talk	989
2016	5	Article Talk	119
2016	5	Project Talk	18
2016	5	User Talk	1061
2016	6	Article Talk	77
2016	6	Project Talk	1
2016	6	User Talk	1039
2016	7	Article Talk	352
2016	7	Project Talk	17
2016	7	User Talk	1005
2016	8	Article Talk	749
2016	8	Project Talk	10
2016	8	User Talk	1193
2016	9	Article Talk	109
2016	9	Project Talk	35
2016	9	User Talk	945
2016	10	Article Talk	282
2016	10	Project Talk	80
2016	10	User Talk	1315
2016	11	Article Talk	650
2016	11	Project Talk	30
2016	11	User Talk	1183
2016	12	Article Talk	138
2016	12	Project Talk	19
2016	12	User Talk	1115
2017	1	Article Talk	98
2017	1	Project Talk	2
2017	1	User Talk	1204
2017	2	Article Talk	190
2017	2	Project Talk	2
2017	2	User Talk	1038
2017	3	Article Talk	973
2017	3	Project Talk	6
2017	3	User Talk	1161
2017	4	Article Talk	907
2017	4	Project Talk	28
2017	4	User Talk	1129
2017	5	Article Talk	335
2017	5	Project Talk	6
2017	5	User Talk	1288
2017	6	Article Talk	1320
2017	6	Project Talk	4
2017	6	User Talk	1247
2017	7	Article Talk	313
2017	7	Project Talk	1
2017	7	User Talk	1296
2017	8	Article Talk	71
2017	8	Project Talk	3
2017	8	User Talk	988
2017	9	Article Talk	232
2017	9	Project Talk	7
2017	9	User Talk	1211
2017	10	Article Talk	360
2017	10	Project Talk	24
2017	10	User Talk	1300
2017	11	Article Talk	362
2017	11	Project Talk	15
2017	11	User Talk	1318
2017	12	Article Talk	441
2017	12	Project Talk	21
2017	12	User Talk	2047
2018	1	Article Talk	1069
2018	1	Project Talk	27
2018	1	User Talk	1294
2018	2	Article Talk	584
2018	2	Project Talk	86
2018	2	User Talk	2742
2018	3	Article Talk	850
2018	3	Project Talk	47
2018	3	User Talk	1341
2018	4	Article Talk	490
2018	4	Project Talk	32
2018	4	User Talk	1622
2018	5	Article Talk	252
2018	5	Project Talk	8
2018	5	User Talk	1469
2018	6	Article Talk	113
2018	6	Project Talk	4
2018	6	User Talk	1272
2018	7	Article Talk	121
2018	7	Project Talk	42
2018	7	User Talk	1801
2018	8	Article Talk	385
2018	8	Project Talk	15
2018	8	User Talk	1695
2018	9	Article Talk	365
2018	9	Project Talk	20
2018	9	User Talk	1824
2018	10	Article Talk	260
2018	10	Project Talk	12
2018	10	User Talk	1796
2018	11	Article Talk	382
2018	11	Project Talk	50
2018	11	User Talk	1673
2018	12	Article Talk	518
2018	12	Project Talk	21
2018	12	User Talk	1708
2019	1	Article Talk	279
2019	1	Project Talk	92
2019	1	User Talk	1942
2019	2	Article Talk	444
2019	2	Project Talk	14
2019	2	User Talk	2415
2019	3	Article Talk	569
2019	3	Project Talk	9
2019	3	User Talk	1361
2019	4	Article Talk	110
2019	4	Project Talk	3
2019	4	User Talk	934
2019	5	Article Talk	69
2019	5	Project Talk	5
2019	5	User Talk	946
2019	6	Article Talk	103
2019	6	Project Talk	1
2019	6	User Talk	1137
2019	7	Article Talk	126
2019	7	Project Talk	3
2019	7	User Talk	1295
2019	8	Article Talk	119
2019	8	Project Talk	2
2019	8	User Talk	1427
2019	9	Article Talk	211
2019	9	Project Talk	20
2019	9	User Talk	1438
2019	10	Article Talk	190
2019	10	Project Talk	16
2019	10	User Talk	1780
2019	11	Article Talk	210
2019	11	Project Talk	2
2019	11	User Talk	1724
2019	12	Article Talk	227
2019	12	Project Talk	3
2019	12	User Talk	1373
2020	1	Article Talk	90
2020	1	Project Talk	4
2020	1	User Talk	1580
2020	2	Article Talk	364
2020	2	Project Talk	17
2020	2	User Talk	1477
2020	3	Article Talk	518
2020	3	Project Talk	23
2020	3	User Talk	1656
2020	4	Article Talk	52
2020	4	Project Talk	11
2020	4	User Talk	1699
2020	5	Article Talk	274
2020	5	Project Talk	2
2020	5	User Talk	1626
2020	6	Article Talk	112
2020	6	Project Talk	8
2020	6	User Talk	1647
2020	7	Article Talk	141
2020	7	Project Talk	11
2020	7	User Talk	1623
2020	8	Article Talk	494
2020	8	Project Talk	11
2020	8	User Talk	1686
2020	9	Article Talk	286
2020	9	Project Talk	17
2020	9	User Talk	1289
2020	10	Article Talk	224
2020	10	Project Talk	10
2020	10	User Talk	1189
2020	11	Article Talk	280
2020	11	Project Talk	5
2020	11	User Talk	957
2020	12	Article Talk	133
2020	12	Project Talk	4
2020	12	User Talk	1011
2021	1	Article Talk	153
2021	1	Project Talk	4
2021	1	User Talk	1192
2021	2	Article Talk	237
2021	2	User Talk	950
2021	3	Article Talk	563
2021	3	Project Talk	1
2021	3	User Talk	1083
2021	4	Article Talk	177
2021	4	Project Talk	6
2021	4	User Talk	897
2021	5	Article Talk	1358
2021	5	Project Talk	4
2021	5	User Talk	1281
2021	6	Article Talk	260
2021	6	Project Talk	2
2021	6	User Talk	1353
2021	7	Article Talk	741
2021	7	Project Talk	6
2021	7	User Talk	1285
2021	8	Article Talk	240
2021	8	Project Talk	5
2021	8	User Talk	1170
2021	9	Article Talk	302
2021	9	Project Talk	12
2021	9	User Talk	1088
2021	10	Article Talk	87
2021	10	Project Talk	3
2021	10	User Talk	1430
2021	11	Article Talk	320
2021	11	Project Talk	8
2021	11	User Talk	1077
2021	12	Article Talk	117
2021	12	Project Talk	2
2021	12	User Talk	1021
2022	1	Article Talk	85
2022	1	User Talk	1230
2022	2	Article Talk	252
2022	2	Project Talk	6
2022	2	User Talk	997
2022	3	Article Talk	947
2022	3	Project Talk	19
2022	3	User Talk	946
2022	4	Article Talk	68
2022	4	Project Talk	4
2022	4	User Talk	882
2022	5	Article Talk	35
2022	5	Project Talk	1
2022	5	User Talk	1034
2022	6	Article Talk	42
2022	6	Project Talk	6
2022	6	User Talk	1039
2022	7	Article Talk	101
2022	7	Project Talk	1
2022	7	User Talk	1068
2022	8	Article Talk	110
2022	8	Project Talk	1
2022	8	User Talk	980
2022	9	Article Talk	46
2022	9	Project Talk	1
2022	9	User Talk	924
2022	10	Article Talk	100
2022	10	User Talk	1110
2022	11	Article Talk	277
2022	11	Project Talk	2
2022	11	User Talk	1095
2022	12	Article Talk	31
2022	12	Project Talk	3
2022	12	User Talk	1127
2023	1	Article Talk	2521
2023	1	Project Talk	6
2023	1	User Talk	1130
2023	2	Article Talk	224
2023	2	Project Talk	12
2023	2	User Talk	1127
2023	3	Article Talk	692
2023	3	Project Talk	4
2023	3	User Talk	1037
2023	4	Article Talk	69
2023	4	Project Talk	2
2023	4	User Talk	894
2023	5	Article Talk	41
2023	5	Project Talk	3
2023	5	User Talk	973
2023	6	Article Talk	69
2023	6	Project Talk	1
2023	6	User Talk	965
2023	7	Article Talk	121
2023	7	Project Talk	16
2023	7	User Talk	1103
2023	8	Article Talk	225
2023	8	Project Talk	20
2023	8	User Talk	1096
2023	9	Article Talk	137
2023	9	Project Talk	1
2023	9	User Talk	1017
2023	10	Article Talk	35
2023	10	Project Talk	5
2023	10	User Talk	942
2023	11	Article Talk	100
2023	11	Project Talk	3
2023	11	User Talk	996
2023	12	Article Talk	58
2023	12	Project Talk	3
2023	12	User Talk	1400
2024	1	Article Talk	96
2024	1	Project Talk	4
2024	1	User Talk	922
2024	2	Article Talk	1830
2024	2	Project Talk	104
2024	2	User Talk	39483
2024	3	Article Talk	47
2024	3	Project Talk	3
2024	3	User Talk	891
2024	4	Article Talk	77
2024	4	User Talk	751
2024	5	Article Talk	72
2024	5	User Talk	806
2024	6	Article Talk	49
2024	6	Project Talk	1
2024	6	User Talk	911
2024	7	Article Talk	59
2024	7	Project Talk	3
2024	7	User Talk	979
2024	8	Article Talk	50
2024	8	Project Talk	2
2024	8	User Talk	909
2024	9	Article Talk	112
2024	9	Project Talk	1
2024	9	User Talk	891
2024	10	Article Talk	87
2024	10	User Talk	768
2024	11	Article Talk	221
2024	11	Project Talk	1
2024	11	User Talk	1137
2024	12	Article Talk	344
2024	12	Project Talk	21
2024	12	User Talk	4281
2025	1	Article Talk	92
2025	1	Project Talk	2
2025	1	User Talk	850
2025	2	Article Talk	100
2025	2	Project Talk	3
2025	2	User Talk	854
2025	3	Article Talk	260
2025	3	Project Talk	6
2025	3	User Talk	875
2025	4	Article Talk	43
2025	4	User Talk	752
2025	5	Article Talk	64
2025	5	User Talk	785
2025	6	Article Talk	55
2025	6	Project Talk	2
2025	6	User Talk	715
2025	7	Article Talk	69
2025	7	User Talk	669
2025	8	Article Talk	53
2025	8	Project Talk	3
2025	8	User Talk	736
2025	9	Article Talk	24
2025	9	User Talk	300
